Code,Name,ListingDate,Shares,ListingBoard,Sector,LastPrice,MarketCap,MinutesFirstAdded,MinutesLastUpdated,HourlyFirstAdded,HourlyLastUpdated,DailyFirstAdded,DailyLastUpdated
BKDP,Mandom Indonesia Tbk.,9/30/1993,201066667,Utama,Consumer Non-Cyclicals,5950,1.20E+12,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
BKSL,Barito Pacific Tbk.,10/1/1993,93747218044,Utama,Basic Materials,820,7.69E+13,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
BKSW,Polychem Indonesia Tbk,10/20/1993,3889179559,Utama,Basic Materials,156,6.07E+11,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
BLTA,Kedaung Indah Can Tbk,10/28/1993,276000000,Utama,Consumer Cyclicals,206,56856000000,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
BLTZ,Indomobil Sukses Internasional,11/15/1993,3994291039,Utama,Consumer Cyclicals,1010,4.03E+12,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
BLUE,Mulia Industrindo Tbk,1/17/1994,1323000000,Pengembangan,Industrials,535,7.08E+11,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
BMAS,Mas Murni Indonesia Tbk,2/9/1994,12299117590,Utama,Consumer Cyclicals,50,6.15E+11,,,4/16/2020 9:00,4/15/2022 16:00,4/16/2001,11/18/2022
BMHS,SLJ Global Tbk.,3/21/1994,3986916802,Utama,Basic Materials,141,5.62E+11,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
BMRI,Ciputra Development Tbk.,3/28/1994,18560303397,Utama,Properties & Real Estate,935,1.74E+13,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
BMSR,Lenox Pasifik Investama Tbk.,3/28/1994,2588250000,Pengembangan,Financials,83,2.15E+11,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
BMTR,Pioneerindo Gourmet Internatio,5/30/1994,220808000,Pengembangan,Consumer Cyclicals,3500,7.73E+11,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
BNBA,Siwani Makmur Tbk,6/3/1994,442589871,Pengembangan,Basic Materials,50,22129493550,,,,,4/16/2001,11/18/2022
BNBR,Akasha Wira International Tbk.,6/13/1994,589896800,Pengembangan,Consumer Non-Cyclicals,7775,4.59E+12,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
BNGA,Tempo Scan Pacific Tbk.,6/17/1994,4509864300,Utama,Healthcare,1355,6.11E+12,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
BNII,Jaya Real Property Tbk.,6/29/1994,13750000000,Utama,Properties & Real Estate,456,6.27E+12,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
BNLI,Indofood Sukses Makmur Tbk.,7/14/1994,8780426500,Utama,Consumer Non-Cyclicals,6500,5.71E+13,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
BOBA,Enseval Putera Megatrading Tbk,8/1/1994,2708640000,Pengembangan,Consumer Non-Cyclicals,2690,7.29E+12,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
BOGA,Wicaksana Overseas Internation,8/8/1994,1268950977,Pengembangan,Consumer Non-Cyclicals,406,5.15E+11,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
BOLA,Steady Safe Tbk,8/15/1994,615145012,Pengembangan,Transportation & Logistic,206,1.27E+11,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
BOLT,Indonesia Prima Property Tbk,8/22/1994,1745000000,Pengembangan,Properties & Real Estate,1040,1.81E+12,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
BOSS,Primarindo Asia Infrastructure,8/30/1994,608175716,Pengembangan,Consumer Cyclicals,161,97916290276,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
BPFI,AKR Corporindo Tbk.,10/3/1994,20073474600,Utama,Energy,1365,2.74E+13,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
BPII,Medco Energi Internasional Tbk,10/12/1994,25136231252,Utama,Energy,1070,2.69E+13,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
BPTR,Langgeng Makmur Industri Tbk.,10/17/1994,1008517669,Pengembangan,Consumer Cyclicals,155,1.56E+11,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
BRAM,Prasidha Aneka Niaga Tbk,10/18/1994,1440000000,Pengembangan,Consumer Non-Cyclicals,88,1.27E+11,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
BRIS,Indosat Tbk.,10/19/1994,8062702740,Utama,Infrastructures,6300,5.08E+13,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
BRMS,Bank OCBC NISP Tbk.,10/20/1994,22715776032,Utama,Financials,745,1.69E+13,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
BRNA,Duta Pertiwi Tbk,11/2/1994,1850000000,Pengembangan,Properties & Real Estate,3970,7.34E+12,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
BRPT,Darya-Varia Laboratoria Tbk.,11/11/1994,1120000000,Utama,Healthcare,2450,2.74E+12,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
BSBK,Suparma Tbk.,11/16/1994,2791233198,Utama,Basic Materials,560,1.56E+12,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
BSDE,Pudjiadi Prestige Tbk.,11/18/1994,329560000,Utama,Properties & Real Estate,376,1.24E+11,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
BSIM,Indal Aluminium Industry Tbk.,12/5/1994,633600000,Pengembangan,Basic Materials,264,1.67E+11,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
BSML,AirAsia Indonesia Tbk.,12/8/1994,10685124441,Pengembangan,Transportation & Logistic,212,2.27E+12,12/27/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
BSSR,Keramika Indonesia Assosiasi T,12/8/1994,14929100000,Pengembangan,Industrials,50,7.46E+11,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
BSWD,Fajar Surya Wisesa Tbk.,12/19/1994,2477888787,Utama,Basic Materials,6050,1.50E+13,12/27/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
BTEK,ICTSI Jasa Prima Tbk.,12/20/1994,587152700,Pengembangan,Infrastructures,90,52843743000,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
BTEL,Citra Marga Nusaphala Persada ,1/10/1995,5434338797,Utama,Infrastructures,1755,9.54E+12,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
BTON,Kawasan Industri Jababeka Tbk.,1/10/1995,20824888369,Utama,Properties & Real Estate,148,3.08E+12,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
BTPN,Hexindo Adiperkasa Tbk.,2/13/1995,840000000,Utama,Industrials,5500,4.62E+12,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
BTPS,Budi Starch & Sweetener Tbk.,5/8/1995,4498997362,Utama,Consumer Non-Cyclicals,208,9.36E+11,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
BUAH,Tunas Ridean Tbk.,5/16/1995,5580000000,Utama,Consumer Cyclicals,1560,8.70E+12,11/1/2021 9:00,5/27/2022 15:59,4/16/2020 9:00,5/27/2022 16:00,4/16/2001,11/18/2022
BUDI,Sinarmas Multiartha Tbk.,7/5/1995,6367664717,Utama,Financials,12400,7.90E+13,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
BUKA,Global Mediacom Tbk.,7/17/1995,16583997586,Utama,Industrials,302,5.01E+12,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
BUKK,Mustika Ratu Tbk.,7/27/1995,428000000,Utama,Consumer Non-Cyclicals,670,2.87E+11,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
BULL,Perdana Bangun Pusaka Tbk,8/22/1995,312000000,Pengembangan,Industrials,2620,8.17E+11,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
BUMI,Red Planet Indonesia Tbk.,9/19/1995,10351231636,Pengembangan,Consumer Cyclicals,75,7.76E+11,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
BUVA,Suryamas Dutamakmur Tbk.,10/12/1995,4772138237,Pengembangan,Properties & Real Estate,256,1.22E+12,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
BVIC,Timah Tbk.,10/19/1995,7447753454,Utama,Basic Materials,1335,9.94E+12,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
BWPT,Bhuwanatala Indah Permai Tbk.,10/23/1995,5028669366,Pengembangan,Properties & Real Estate,50,2.51E+11,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
BYAN,Bakrieland Development Tbk.,10/30/1995,43521913019,Utama,Properties & Real Estate,50,2.18E+12,11/22/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
CAKK,Asahimas Flat Glass Tbk.,11/8/1995,434000000,Utama,Industrials,5675,2.46E+12,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
CAMP,Telkom Indonesia (Persero) Tbk,11/14/1995,99062216600,Utama,Infrastructures,4010,3.97E+14,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
CANI,Lippo Karawaci Tbk.,6/28/1996,70898018369,Utama,Properties & Real Estate,98,6.95E+12,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
CARE,Citatah Tbk.,7/3/1996,1230839821,Pengembangan,Industrials,50,61541991050,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
CARS,PP London Sumatra Indonesia Tb,7/5/1996,6822863965,Utama,Consumer Non-Cyclicals,1075,7.33E+12,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
CASA,Wilmar Cahaya Indonesia Tbk.,7/9/1996,595000000,Utama,Consumer Non-Cyclicals,1970,1.17E+12,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
CASH,Ramayana Lestari Sentosa Tbk.,7/24/1996,7096000000,Utama,Consumer Cyclicals,580,4.12E+12,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/18/2022,11/18/2022
CASS,Kedawung Setia Industrial Tbk.,7/29/1996,405000000,Pengembangan,Basic Materials,1030,4.17E+11,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
CBMF,Selamat Sempurna Tbk.,9/9/1996,5758675440,Utama,Consumer Cyclicals,1560,8.98E+12,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
CBUT,Pelangi Indah Canindo Tbk,9/23/1996,568375000,Pengembangan,Basic Materials,462,2.63E+11,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
CCSI,Bank Negara Indonesia (Persero,11/25/1996,18462169893,Utama,Financials,9200,1.70E+14,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
CEKA,Siantar Top Tbk.,12/16/1996,1310000000,Pengembangan,Consumer Non-Cyclicals,7850,1.03E+13,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
CENT,Sreeya Sewu Indonesia Tbk.,12/27/1996,1339102579,Pengembangan,Consumer Non-Cyclicals,1215,1.63E+12,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
CFIN,Alumindo Light Metal Industry ,1/2/1997,3816000000,Pengembangan,Basic Materials,286,1.09E+12,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
CHEM,Mitra International Resources ,1/30/1997,3961452039,Pengembangan,Transportation & Logistic,50,1.98E+11,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
CINT,Surya Semesta Internusa Tbk.,3/27/1997,4705249440,Utama,Infrastructures,310,1.46E+12,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
CITA,Eterindo Wahanatama Tbk,5/16/1997,4668671400,Utama,Energy,254,1.19E+12,8/29/2022 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
CITY,Intikeramik Alamasri Industri ,6/4/1997,13305799387,Utama,Consumer Cyclicals,50,6.65E+11,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
CLAY,FKS Food Sejahtera Tbk.,6/11/1997,9311800000,Utama,Consumer Non-Cyclicals,172,1.60E+12,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
CLEO,Bank JTrust Indonesia Tbk.,6/25/1997,13996806290,Pengembangan,Financials,136,1.90E+12,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
CLPI,Mitra Investindo Tbk.,7/16/1997,2442988366,Pengembangan,Energy,162,3.96E+11,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
CMNP,Lautan Luas Tbk.,7/21/1997,1560000000,Utama,Basic Materials,1415,2.21E+12,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
CMNT,Lippo General Insurance Tbk.,7/22/1997,150000000,Utama,Financials,5225,7.84E+11,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
CMPP,Lippo Cikarang Tbk,7/24/1997,2679600000,Utama,Properties & Real Estate,1080,2.89E+12,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
CMRY,Sentul City Tbk.,7/28/1997,67083561082,Utama,Properties & Real Estate,50,3.35E+12,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
CNKO,Jakarta Kyoei Steel Works Tbk.,8/6/1997,150000000,Pengembangan,Basic Materials,60,9000000000,,,,,4/16/2001,11/18/2022
CNTX,Sunson Textile Manufacture Tbk,8/20/1997,1170909181,Pengembangan,Consumer Cyclicals,755,8.84E+11,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
COAL,Bank Mayapada Internasional Tb,8/29/1997,11714045161,Utama,Financials,580,6.79E+12,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
COCO,Central Omega Resources Tbk.,11/21/1997,5638246600,Pengembangan,Basic Materials,120,6.77E+11,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
COWL,MNC Investama Tbk.,11/24/1997,86068156705,Utama,Industrials,60,5.16E+12,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
CPIN,Aneka Tambang Tbk.,11/27/1997,24030764725,Utama,Basic Materials,1960,4.71E+13,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
CPRI,Golden Eagle Energy Tbk.,12/1/1997,3150000000,Pengembangan,Energy,730,2.30E+12,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
CPRO,Astra Agro Lestari Tbk.,12/9/1997,1924688333,Utama,Consumer Non-Cyclicals,8250,1.59E+13,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
CRAB,Humpuss Intermoda Transportasi,12/15/1997,7101084801,Utama,Energy,585,4.15E+12,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
CSAP,Ristia Bintang Mahkotasejati T,12/19/1997,2656212826,Utama,Properties & Real Estate,50,1.33E+11,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
CSIS,Jakarta Setiabudi Internasiona,1/12/1998,2318736000,Pengembangan,Consumer Cyclicals,820,1.90E+12,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
CSMI,Ricky Putra Globalindo Tbk,1/22/1998,641717510,Utama,Consumer Cyclicals,101,64813468510,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
CSRA,Astra Otoparts Tbk.,6/15/1998,4819733000,Utama,Consumer Cyclicals,1525,7.35E+12,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
CTBN,Bank Victoria International Tb,6/30/1999,10382261242,Utama,Financials,133,1.38E+12,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
CTRA,Samudera Indonesia  Tbk.,7/5/1999,3275120000,Utama,Transportation & Logistic,2320,7.60E+12,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
CTTH,Tirta Mahakam Resources Tbk,12/13/1999,1011774750,Utama,Basic Materials,56,56659386000,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
DADA,Bintang Mitra Semestaraya Tbk,12/29/1999,1159200024,Utama,Basic Materials,680,7.88E+11,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
DART,Trimegah Sekuritas Indonesia T,1/31/2000,7109300000,Utama,Financials,266,1.89E+12,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
DAYA,Tunas Baru Lampung Tbk.,2/14/2000,5342098939,Utama,Consumer Non-Cyclicals,720,3.85E+12,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
DCII,First Media Tbk.,2/25/2000,1742167907,Pengembangan,Infrastructures,142,2.47E+11,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
DEAL,Dharma Samudera Fishing Indust,3/24/2000,1857135500,Utama,Consumer Non-Cyclicals,92,1.71E+11,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
DEFI,MNC Land Tbk.,3/30/2000,80625726664,Pengembangan,Consumer Cyclicals,80,6.45E+12,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
DEPO,Pembangunan Graha Lestari Inda,4/5/2000,488000000,Pengembangan,Consumer Cyclicals,250,1.22E+11,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
DEWA,Bank Mega Tbk.,4/17/2000,11623514905,Utama,Financials,5350,6.22E+13,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
DEWI,Asiaplast Industries Tbk.,5/1/2000,1362671400,Utama,Basic Materials,191,2.60E+11,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
DFAM,Bank Central Asia Tbk.,5/31/2000,1.22E+11,Utama,Financials,8825,1.08E+15,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
DGIK,Panin Sekuritas Tbk.,5/31/2000,720000000,Utama,Financials,1965,1.41E+12,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
DGNS,Fortune Mate Indonesia Tbk,6/30/2000,2721000000,Pengembangan,Properties & Real Estate,310,8.44E+11,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
DIGI,Samindo Resources Tbk.,7/27/2000,2206312500,Utama,Energy,1605,3.54E+12,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
DILD,Rimo International Lestari Tbk,11/10/2000,45080600000,Pengembangan,Properties & Real Estate,50,2.25E+12,,,,,4/16/2001,11/18/2022
DIVA,Indoritel Makmur Internasional,12/11/2000,14184000000,Pengembangan,Financials,3730,5.29E+13,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
DKFT,Gowa Makassar Tourism Developm,12/11/2000,101538000,Pengembangan,Properties & Real Estate,14500,1.47E+12,11/15/2021 9:00,10/28/2022 15:59,4/16/2020 9:00,10/28/2022 16:00,4/16/2001,11/18/2022
DLTA,Tempo Intimedia Tbk.,1/8/2001,1058333250,Pengembangan,Consumer Cyclicals,118,1.25E+11,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
DMAS,Polaris Investama Tbk,3/16/2001,1184200000,Pengembangan,Financials,50,59210000000,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
DMMX,Indofarma Tbk.,4/17/2001,3099267500,Utama,Healthcare,1055,3.27E+12,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/17/2001,11/18/2022
DMND,Tanah Laut Tbk,5/17/2001,437913588,Pengembangan,Industrials,240,1.05E+11,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,5/17/2001,11/18/2022
DNAR,MNC Kapital Indonesia Tbk.,6/8/2001,42618850927,Utama,Financials,103,4.39E+12,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,6/8/2001,11/18/2022
DNET,Delta Dunia Makmur Tbk.,6/15/2001,8621173232,Utama,Energy,366,3.16E+12,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,6/15/2001,11/18/2022
DOID,Wahana Pronatural Tbk.,6/22/2001,1240923111,Pengembangan,Consumer Non-Cyclicals,192,2.38E+11,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,6/22/2001,11/18/2022
DPNS,Kimia Farma Tbk.,7/4/2001,5554000000,Utama,Healthcare,1415,7.86E+12,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,7/4/2001,11/18/2022
DPUM,Danasupra Erapacific Tbk.,7/6/2001,687266666,Pengembangan,Financials,1455,1.00E+12,11/1/2021 9:00,1/7/2022 15:59,4/16/2020 9:00,4/15/2022 16:00,7/6/2001,11/18/2022
DRMA,Mineral Sumberdaya Mandiri Tbk,7/13/2001,720000000,Pengembangan,Transportation & Logistic,292,2.10E+11,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,7/13/2001,11/18/2022
DSFI,Bank Pembangunan Daerah Banten,7/13/2001,51351733883,Pengembangan,Financials,50,2.57E+12,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,7/13/2001,11/18/2022
DSNG,Arwana Citramulia Tbk.,7/17/2001,7341430976,Utama,Industrials,995,7.30E+12,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,7/17/2001,11/18/2022
DSSA,Leyand International Tbk.,7/17/2001,3966350139,Pengembangan,Infrastructures,50,1.98E+11,,,4/16/2020 9:00,4/15/2022 16:00,7/17/2001,11/18/2022
DUCK,Betonjaya Manunggal Tbk.,7/18/2001,720000000,Pengembangan,Basic Materials,442,3.18E+11,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,7/18/2001,11/18/2022
DUTI,Nusantara Infrastructure Tbk.,7/18/2001,17710708194,Utama,Infrastructures,133,2.36E+12,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,7/18/2001,11/18/2022
DVLA,Akbar Indo Makmur Stimec Tbk,7/20/2001,220000000,Pengembangan,Energy,222,48840000000,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,7/20/2001,11/18/2022
DWGL,Panorama Sentrawisata Tbk.,9/18/2001,1200000000,Utama,Consumer Cyclicals,414,4.97E+11,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,9/18/2001,11/18/2022
